Deutsch,English
Morgen muss ich früher weg.,Tomorrow I have to leave early.
Es ist zu früh.,It's too early.
Übermorgen muss ich früher gehen.,The day after tomorrow I have to leave early.
Er ist ungefähr vierzig Jahre alt.,He is about forty years old.
Ich möchte heute zu Hause bleiben.,I want to stay home today.
Nimm dir etwas zu essen.,Have something to eat.
"Ich hoffe, dass es dir gut geht.",I hope you are well.
Wer ist diese schöne Frau?,Who is this beautiful woman?
Hier kann es gefährlich sein. Sei vorsichtig!,It can be dangerous here. Be careful!
"Ich glaube, dass ich hier bleiben werde.",I think I'll stay here.
Ich denke oft an sie.,I think about her often.
"Ich habe alles, was ich brauche.",I have everything I need.
Meiner Meinung nach ist das Wochenende der beste Teil der Woche.,"In my opinion, the weekend is the best part of the week."
Das ist sehr lustig!,It's very funny!
Wir waren vor einer Woche in Paris.,We went to Paris a week ago.
Dein Kuchen ist köstlich.,Your cake is delicious.
Sie liebt Rotwein.,She loves red wine.
Das Leben ist ein Geschenk.,Life is a gift.
Lass uns zuerst zum Markt gehen.,Let's go to the market first.
Wir wollten ins Theater gehen.,We were going to the theater.
Er wollte dich kennelernen.,He wanted to meet you.
Es funktioniert zwischen uns nicht.,It doesn't work between us.
Wir sind schon seit zwanzig Jahren befreundet.,We've been friends for twenty years.
Was bedeutet dieses Wort?,What does this word mean?
Ich werde bald ankommen.,I'll be arriving soon.
Er war wirklich überrascht.,He was really surprised.
Das macht mich ein bisschen nervös.,It makes me a little nervous.
Möchtest du etwas trinken?,Would you like something to drink?
Möchtest du ein Glas Rotwein?,Would you like a glass of red wine?
Sie hat ihren Ehemann über das Internet kennengelernt.,She met her husband over the Internet.
Das ist genau das was ich wollte.,That's exactly what I wanted.
"Nein, danke. Ich trinke keinen Alkohol.","No, thank you. I don't drink alcohol."
Bevorzugst du dieses oder jenes?,Do you prefer this or that?
Ich versuche so schnell wie möglich eine Lösung zu finden.,I'm trying to find a solution as soon as possible.
"Ich habe nur zwei Tage gebraucht, um dieses Buch zu lesen.",It only took me two days to read this book.
Ich habe die Tür hinter mir geschlossen.,I closed the door behind me.
Ich habe vor deinem Haus.,I have in front of your house.
"Ich verstehe sehr gut, worüber du sprichst.",I understand very well what you are talking about.
Ich gehe heute Abend aus.,I'm going out tonight.
Dieser Film basiert auf einer wahren Geschichte.,This movie is based on a true story.
Sie hat uns auf ihre Party eingeladen.,She invited us to her party.
"Ich liebe es, während des Joggens Musik zu hören.",I love listening to music while jogging.
Sie hat mir eine falsche Nummer gegeben.,She gave me a wrong number.
Das ist unsere Haltestelle.,This is our stop.
"Tut mir leid, ich erinnere mich nicht an deinen Namen.","Sorry, I don't remember your name."
"Es ist schwierig, als Erwachsener neue Freunde zu finden.",It's hard to make new friends as an adult.
"Ich freue mich sehr, dich zu sehen. ",I'm very happy to see you. 
Kannst du nur noch ein bisschen länger warten?,Can you just wait a little longer?
Ich habe keinen Kugelschreiber.,I don't have a pen.
Ich habe dich nicht gesehen.,I haven't seen you.
Ich zahle die Miete immer zum vereinbarten Datum.,I always pay the rent on the agreed date.
Hat deine Schwester Kinder?,Does your sister have children?
"Ja, sie hat zwei Kinder.","Yes, she has two children."
Ich warte nur auf einen Freund.,I'm just waiting for a friend.
Ich suche schon seit dreißig Minuten nach dir.,I've been looking for you for thirty minutes.
"Du kannst zu mir kommen, wenn du möchtest.",You can come to my place if you want.
Was ist deine Lieblingszahl?,What's your favorite number?
Das wäre perfekt.,That would be perfect.
Es ist kostenlos.,It's free.
Ich werde mit Karte bezahlen.,I'll pay by card.
Ich hatte viel Geld.,I had a lot of money.
Wir haben uns vor über zwei Jahren kennengelernt.,We met over two years ago.
"Ich denke, dass du süß bist.",I think you are cute.
"In ihrer E-Mail hat sie gesagt, dass sie mit mir sprechen möchte.","In her email, she said she wanted to talk to me."
Ich habe dein Handy auf den Tisch gelegt.,I put your phone on the table.
Tobias und Maria lieben einander.,Tobias and Maria love each other.
Ich habe dich heute in der Stadt gesehen.,I saw you today in the city.
Ich bin hungrig.,I am hungry.
"Sie dachte, dass es dumm war.",She thought it was stupid.
Heute arbeite ich bis fünf Uhr.,Today I work until five o'clock.
Gestern sind wir zum Markt gegangen und haben diverses Obst gekauft.,Yesterday we went to the market and bought various fruits.
Ich bin sehr glücklich.,I am very happy.
Er trinkt keinen Kaffee.,He doesn't drink coffee.
Wann ist dein Geburtstag?,When is your birthday?
Das ist mein Fahrrad. Deins ist da drüben.,This is my bike. Yours is over there.
Mein Geburtstag ist im Januar.,My birthday is in January.
Habe ich dir schon von meinem neuen Job erzählt?,Did I tell you about my new job?
"Sie hat mich gebeten, etwas zu tun, doch ich habe vollkommen vergessen, was es war.","She asked me to do something, but I completely forgot what it was."
Ich kaufe ab und zu Blumen für meine Frau.,I buy flowers for my wife from time to time.
"Ich habe dir gesagt, dass es ein langweiliger Film ist.",I told you it was a boring movie.
Ist das Restaurant in der Nähe?,Is the restaurant nearby?
Das ist mein Lieblingsort in dieser Stadt.,It's my favorite place in this town.
Es war im Jahr zweitausend.,It was in the year two thousand.
Wir haben zwei Millionen Euro gewonnen.,We won two million euros.
Das Projekt entwickelt sich langsam.,The project is developing slowly.
"Sie ist sich sicher, dass sie Recht hat.",She is sure that she is right.
Ich musste meine Dokumente vorzeigen.,I had to show my documents.
Sie hat nicht so viel Geduld wie er.,She doesn't have as much patience as him.
ist diese Information richtig?,Is this information correct?
Wir sind uns sicher.,We are sure.
Mir ist langweilig. Lass uns etwas zusammen machen. ,I'm bored. Let's do something together. 
Ich habe den Ball mit einer Hand gefangen.,I caught the ball with one hand.
Wer sind diese Menschen?,Who are these people?
Normalerweise gehe ich zu Fuß ins Büro.,I usually walk to the office.
Ich habe keine Ahnung. Ich kenne diese Menschen nicht.,I have no idea. I don't know these people.
Wir kommen später.,We'll come later.
Sie haben vieles gemeinsam.,They have a lot in common.
Wir haben vier Stunden pro Woche.,We have four hours a week.
Diesmal zahle ich.,This time I'm paying.
Ich habe gestern mehr als zwölf Stunden geschlafen.,I slept more than twelve hours yesterday.
Er ist zur Arbeit gegangen.,He went to work.
Ich nehme die Herausforderung an.,I accept the challenge.
Ich bin gerne zu Hause und mache nichts.,I like being at home and doing nothing.
Gib mir eine Minute.,Give me a minute.
Kommst du heute Abend auch zur Party?,"Are you coming to the party tonight, too?"
Ich würde diesen Film gerne sehen.,I'd love to see that movie.
Wie viel kostet es insgesamt?,How much is it in total?
Ich kann dir meine E-Mail-Adresse geben.,I can give you my email address.
Haben Sie etwas günstigeres?,Do you have anything cheaper?
"Nein, noch nicht.","No, not yet."
Hast du meine schwarzen Schuhe gesehen?,Have you seen my black shoes?
Schick mir eine Nachricht wenn du zu Hause angekommen bist.,Send me a message when you get home.
Es ist die erste Tür links.,It's the first door on the left.
Wir müssen in einhundert Metern rechts abbiegen.,We have to turn right in a hundred meters.
Ich bin superglücklich.,I'm super happy.
"Ich würde gerne etwas essen, aber ich weiß nicht, was.","I'd like to eat something, but I don't know what."
Mein Flug geht um sechs.,My flight leaves at six.
Ich werde dich heute Abend anrufen.,I'll call you tonight.
"Ich habe mein erstes Auto erhalten, als ich zweiundzwanzig Jahre alt war.",I got my first car when I was twenty-two years old.
Wir haben kein Toilettenpapier mehr.,We are out of toilet paper.
Es sind fünfundzwanzig Euro.,It's twenty-five euros.
Wir haben ein Taxi genommen.,We took a cab.
Wir haben den falschen Bus genommen.,We took the wrong bus.
"Ich befürchte, dass es nicht möglich ist.",I'm afraid it's not possible.
Ich schreibe Musik.,I'm writing music.
"Nein, es ist nicht weit.","No, it's not far."
Wir haben im Moment ein Meeting.,We have a meeting right now.
Es hat den ganzen Tag gedauert.,It took all day.
Du solltest zweifelsohne dieses Buch lesen.,"You should read this book, no doubt."
Letzte Nacht habe ich ein Buch gelesen und bin eingeschlafen.,Last night I was reading a book and I fell asleep.
"Ist es möglich, mit Karte zu bezahlen?",Is it possible to pay by card?
Ich habe die Arbeit für heute abgeschlossen.,I finished the work for today.
Sie sucht derzeit nach einer ernsten Beziehung.,She is currently looking for a serious relationship.
Die Polizei hat einen Mann verhaftet.,The police have arrested a man.
Ich brauche frische Luft.,I need some fresh air.
Dieser Film ist ungefähr sechzig Minuten lang.,This film is about sixty minutes long.
Ich treffe ihn nächsten Freitag.,I'm meeting him next Friday.
Grüß deine Eltern von mir.,Say hello to your parents for me.
Ich glaube an dich.,I believe in you.
Das Museum öffnet um neun Uhr morgens.,The museum opens at nine in the morning.
Das ist sehr romantisch!,That's very romantic!
Das ist eine wichtige Person.,This is an important person.
Komm mit mir! Ich möchte dir etwas zeigen.,Come with me! I want to show you something.
Auf diesem Foto bin ich ungefähr achtzehn Jahre alt.,In this photo I am about eighteen years old.
"Wir haben zwei Katzen, eine weiße und eine schwarze.","We have two cats, one white and one black."
Schwarz ist immer in Mode.,Black is always in fashion.
Wir haben bis zum Morgen geredet.,We talked until the morning.
Sie ist mit dem Fahrrad gekommen.,She came by bicycle.
Wir haben das gestern nicht besprochen.,We didn't discuss this yesterday.
Ich muss dieses Jahr zwei Examen machen.,I have to take two exams this year.
Ich möchte dieses Kleid anprobieren.,I want to try on this dress.
Wann ist das nächste Meeting?,When is the next meeting?
Es sind nur wenige Kilometer.,It's only a few kilometers.
Warst du schon mal in Deutschland?,Have you ever been to Germany?
Es ist sehr berühmt.,It's very famous.
Schau in den Himmel.,Look at the sky.
Mir gefällt dieser Film.,I like this movie.
Wie lautet der Titel von diesem Buch?,What is the title of this book?
Das gefällt mir sehr.,I like it very much.
Sie läuft jeden Tag sechzehn Kilometer.,She walks sixteen kilometers every day.
Das Konzert wird nächsten Sonntag stattfinden.,The concert will be next Sunday.
Wo sollten wir uns treffen?,Where should we meet?
Magst du Hunde oder Katzen?,Do you like dogs or cats?
Liebe wird die Welt retten.,Love will save the world.
Es gibt einen schönen Park im Stadtzentrum.,There is a beautiful park in the center of town.
Hör auf!,Stop it!
Wir werden das ganze Wochenende zu Hause sein.,We'll be home all weekend.
Ich habe eine Schachtel Erdbeeren gekauft.,I bought a box of strawberries.
Es wird nächsten Dienstag fertig sein.,It will be ready next Tuesday.
Ist das Wetter gut?,Is the weather good?
Heute ist es sehr sonnig.,Today it is very sunny.
Das letzte Jahr war ein sehr gutes Jahr für unser Geschäft.,Last year was a very good year for our business.
Wir haben eine sehr gute Beziehung.,We have a very good relationship.
"Wie viel kostet es, ein Auto zu mieten?",How much does it cost to rent a car?
Ich muss ihm eine E-mail schreiben.,I have to write an e-mail to him.
Ich möchte ein Zimmer buchen.,I want to book a room.
"Er weiß nicht, was er tun soll.",He doesn't know what to do.
Kannst du mir diese Schüssel geben?,Can you give me this bowl?
Ich habe eine Wohnung in Wien gemietet.,I rented an apartment in Vienna.
"Ich glaube, wir haben das Problem gefunden.",I think we found the problem.
"Wenn ich anfange, Schokolade zu essen, kann ich nicht aufhören.","When I start eating chocolate, I can't stop."
Sie ist immer sehr nett zu mir.,She's always very nice to me.
Er wird übermorgen nach Köln kommen.,He will come to Cologne the day after tomorrow.
Ich muss dieses Projekt für die Arbeit heute abschießen.,I have to shoot this project for work today.
Es ist sehr spät. Warum schläfst du nicht?,It's very late. Why don't you sleep?
Wir werden nach der Arbeit Tennis spielen gehen.,We are going to play tennis after work.
Mein Nachar spielt jeden Abend Gitarre.,My Nachar plays guitar every night.
"Ich würde gerne in das neue Restaurant gehen, von dem du gestern gesprochen hast.",I'd like to go to that new restaurant you talked about yesterday.
Ich habe gestern den ganzen Tag mit meinen Kindern gespielt.,I played with my children all day yesterday.
"Sie weiß, was sie tut.",She knows what she is doing.
Ich habe bis mittags geschlafen.,I slept until noon.
In der zweiten Hälfte des Tages bin ich frei.,The second half of the day I am free.
Er konnte gestern nicht kommen.,He couldn't come yesterday.
Gern geschehen.,You're welcome.
Warum rufst du mich so früh an?,Why are you calling me so early?
"Liebe Freunde, wie gut es ist, euch zu sehen!","Dear friends, how good it is to see you!"
Warum gehst du so früh?,Why are you leaving so early?
Ich arbeite gut unter Druck.,I work well under pressure.
Ich habe viele gute Nachrichten.,I have a lot of good news.
Dieser Film ist ungefähr zwei Stunden lang.,This movie is about two hours long.
Ich habe die Tür gschlossen.,I have closed the door.
"Schließ das Fenster, bitte.","Close the window, please."
"Das ist das erste Mal, dass ich eine gelbe Rose sehe.",This is the first time I've seen a yellow rose.
Unglücklicherweise habe ich meinen Pass verloren.,"Unfortunately, I lost my passport."
Sie wird fünf Minuten später ankommen.,It will arrive five minutes later.
